work_item_id,jira_key,jira_url,notion_url,canonical_status,last_verified_at
BF-001,PCH-92,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-92,https://app.notion.com/p/3c8ab1f227658180afc2d4be6cf64f83?pvs=204,Done,2026-08-25
BF-002,PCH-93,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-93,https://app.notion.com/p/3c8ab1f22765819f88b9caf9e03eb902?pvs=204,Done,2026-08-25
BF-003,PCH-94,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-94,https://app.notion.com/p/3c8ab1f22765819f86cff77a1c1ecb3e?pvs=204,Done,2026-08-25
BF-004,PCH-95,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-95,https://app.notion.com/p/3c8ab1f2276581969434dd0496e3da35?pvs=204,Done,2026-08-25
BF-005,PCH-96,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-96,https://app.notion.com/p/3c8ab1f2276581fb9125f609c96645ef?pvs=204,Done,2026-08-25
BF-006,PCH-97,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-97,https://app.notion.com/p/3c8ab1f2276581b680b4ff55d6ce7483?pvs=204,Done,2026-08-25
BF-007,PCH-98,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-98,https://app.notion.com/p/3c8ab1f2276581abb3faf7d3334de158?pvs=204,Done,2026-08-25
BF-008,PCH-99,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-99,https://app.notion.com/p/3c8ab1f2276581b69072da93491ed131?pvs=204,Done,2026-08-25
BF-009,PCH-100,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-100,https://app.notion.com/p/3c8ab1f22765816d9702d57112d9e9d6?pvs=204,Done,2026-08-25
BF-010,PCH-101,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-101,https://app.notion.com/p/3c8ab1f22765813184ccf49952a029d0?pvs=204,Done,2026-08-25
BF-011,PCH-102,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-102,https://app.notion.com/p/3c8ab1f2276581408ffbe88690973dbf?pvs=204,Done,2026-08-25
BF-012,PCH-103,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-103,https://app.notion.com/p/3c8ab1f2276581ff80b8ea544b4c73c6?pvs=204,Done,2026-08-25
BF-013,PCH-104,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-104,https://app.notion.com/p/3c8ab1f22765817dbf21cccdb534bb42?pvs=204,Open,2026-08-25
BF-014,PCH-105,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-105,https://app.notion.com/p/3c8ab1f2276581298ce4cf31c6399569?pvs=204,Open,2026-08-25
BF-015,PCH-106,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-106,https://app.notion.com/p/3c8ab1f22765816da8f0d5077c6430d5?pvs=204,Open,2026-08-25
BF-016,PCH-107,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-107,https://app.notion.com/p/3c8ab1f2276581dba04bc91baec9b00b?pvs=204,Open,2026-08-25
BF-017,PCH-108,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-108,https://app.notion.com/p/3c8ab1f2276581d18aabdb681d4b04d8?pvs=204,Open,2026-08-25
BF-018,PCH-109,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-109,https://app.notion.com/p/3c8ab1f227658103b210d35854b6ed8a?pvs=204,Blocked,2026-08-25
BF-019,PCH-110,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-110,https://app.notion.com/p/3c8ab1f2276581139c5bd8d6984ee543?pvs=204,Open,2026-08-25
BF-020,PCH-111,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-111,https://app.notion.com/p/3c8ab1f2276581c0a6bfe5b6ae96bd51?pvs=204,Open,2026-08-25
BF-021,PCH-112,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-112,https://app.notion.com/p/3c8ab1f2276581348b71da09f97c2fd6?pvs=204,Blocked,2026-08-25
BF-022,PCH-113,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-113,https://app.notion.com/p/3c8ab1f22765819083f5f98b8b843bcc?pvs=204,Open,2026-08-25
BF-023,PCH-114,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-114,https://app.notion.com/p/3c8ab1f2276581be800ad43f8ffed8b4?pvs=204,Open,2026-08-25
BF-024,PCH-115,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-115,https://app.notion.com/p/3c8ab1f2276581678723c921724331dd?pvs=204,Blocked,2026-08-25
BF-025,PCH-116,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-116,https://app.notion.com/p/3c8ab1f2276581588da2fece8b34a994?pvs=204,Blocked,2026-08-25
BF-026,PCH-117,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-117,https://app.notion.com/p/3c8ab1f2276581889136d06e8ac3e222?pvs=204,Deferred,2026-08-25
BF-027,PCH-118,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-118,https://app.notion.com/p/3c8ab1f22765817eaec2d5b19a7e275b?pvs=204,Deferred,2026-08-25
BF-028,PCH-119,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-119,https://app.notion.com/p/3c8ab1f22765811284e0f571ab5bcc5e?pvs=204,Deferred,2026-08-25
BF-029,PCH-120,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-120,https://app.notion.com/p/3c8ab1f22765813694ace6305335e8e4?pvs=204,Open,2026-08-25
BF-030,PCH-121,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-121,https://app.notion.com/p/3c8ab1f2276581ab9a3ae806c5b8e004?pvs=204,Open,2026-08-25
BF-031,PCH-122,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-122,https://app.notion.com/p/3c8ab1f22765817680d3ddfec532e073?pvs=204,Open,2026-08-25
BF-032,PCH-123,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-123,https://app.notion.com/p/3c8ab1f227658195bf7fdd8c52cd02b8?pvs=204,Open,2026-08-25
BF-033,PCH-124,https://priyanshchordia-1779372280524.atlassian.net/browse/PCH-124,https://app.notion.com/p/3c8ab1f22765815aa059fbbeb4ede0ed?pvs=204,Blocked,2026-08-25
